State,Governor,Party,twitter_handle,personal_twitter
Alabama,Kay Ivey,Republican,GovernorKayIvey,
Alaska,Mike Dunleavy,Republican,GovDunleavy,
Arizona,Doug Ducey,Republican,dougducey,
Arkansas,Asa Hutchinson,Republican,AsaHutchinson,
California,Gavin Newsom,Democratic,GavinNewsom,
Colorado,Jared Polis,Democratic,GovofCO,jaredpolis
Connecticut,Ned Lamont,Democratic,GovNedLamont,
Delaware,John Carney,Democratic,JohnCarneyDE,
Florida,Ron DeSantis,Republican,GovRonDeSantis,
Georgia,Brian Kemp,Republican,GovKemp,
Hawaii,David Ige,Democratic,GovHawaii,
Idaho,Brad Little,Republican,GovernorLittle,
Illinois,J. B. Pritzker,Democratic,GovPritzker,
Indiana,Eric Holcomb,Republican,GovHolcomb,HolcombForIN
Iowa,Kim Reynolds,Republican,IAGovernor,
Kansas,Laura Kelly,Democratic,GovLauraKelly,
Kentucky,Andy Beshear,Democratic,GovAndyBeshear,
Louisiana,John Bel Edwards,Democratic,LouisianaGov,
Maine,Janet Mills,Democratic,GovJanetMills,
Maryland,Larry Hogan,Republican,GovLarryHogan,
Massachusetts,Charlie Baker,Republican,MassGovernor,CharlieBakerMA
Michigan,Gretchen Whitmer,Democratic,GovWhitmer,
Minnesota,Tim Walz,Democratic,GovTimWalz,
Mississippi,Tate Reeves,Republican,tatereeves,
Missouri,Mike Parson,Republican,GovParsonMO,mikeparson
Montana,Steve Bullock,Democratic,GovernorBullock,
Nebraska,Pete Ricketts,Republican,GovRicketts,
Nevada,Steve Sisolak,Democratic,GovSisolak,SteveSisolak
New Hampshire,Chris Sununu,Republican,GovChrisSununu,ChrisSununu
New Jersey,Phil Murphy,Democratic,GovMurphy,
New Mexico,Michelle Lujan Grisham,Democratic,GovMLG,Michelle4NM
New York,Andrew Cuomo,Democratic,NYGovCuomo,andrewcuomo
North Carolina,Roy Cooper,Democratic,NC_Governor,RoyCooperNC
North Dakota,Doug Burgum,Republican,DougBurgum,DougForDakota
Ohio,Mike DeWine,Republican,GovMikeDeWine,MikeDeWine
Oklahoma,Kevin Stitt,Republican,GovStitt,
Oregon,Kate Brown,Democratic,OregonGovBrown,KateBrownForOR
Pennsylvania,Tom Wolf,Democratic,GovernorTomWolf,TomWolfPA
Rhode Island,Gina Raimondo,Democratic,GovRaimondo,GinaRaimondo
South Carolina,Henry McMaster,Republican,scgovernorpress,henrymcmaster
South Dakota,Kristi Noem,Republican,govkristinoem,KristiNoem
Tennessee,Bill Lee,Republican,GovBillLee,BillLeeTN
Texas,Greg Abbott,Republican,GovAbbott,GregAbbott_TX
Utah,Gary Herbert,Republican,GovHerbert,HerbertForUtah
Vermont,Phil Scott,Republican,GovPhilScott,PhilScott4VT
Virginia,Ralph Northam,Democratic,GovernorVA,RalphNortham
Washington,Jay Inslee,Democratic,GovInslee,JayInslee
West Virginia,Jim Justice,Republican,WVGovernor,JimJusticeWV
Wisconsin,Tony Evers,Democratic,GovEvers,Tony4WI
Wyoming,Mark Gordon,Republican,GovernorGordon,Mark_Gordon_WY